,milage,accident,clean_title,price,horsepower,price_group,fuel_type_diesel,fuel_type_e85 flex fuel,fuel_type_electric,fuel_type_gasoline,fuel_type_hybrid,fuel_type_hydrogen,fuel_type_plug-in hybrid,transmission_category_automatic,transmission_category_manual
67,-1.1618189522700153,False,True,46900.0,-0.7012205695757731,2,False,False,False,True,False,False,False,True,False
69,-0.37740603303043263,False,True,31000.0,-0.6052900050007155,2,False,False,False,True,False,False,False,True,False
70,-0.4630358361757668,True,True,19995.0,0.9383199886161202,1,False,False,False,True,False,False,False,True,False
72,-0.18284103481584063,False,True,55999.0,0.9383199886161202,2,False,False,False,True,False,False,False,True,False
73,-1.2590919853367248,False,True,49950.0,-0.15180006337317056,1,False,False,False,True,False,False,False,False,True
74,-0.8749979224995502,True,True,59950.0,1.1040182365184923,2,False,False,False,True,False,False,False,True,False
78,-0.3683754303109269,True,True,30000.0,0.19703835326340247,2,False,False,False,True,False,False,False,True,False
79,-0.49978300573249773,False,True,11100.0,-0.805872094566745,2,False,False,False,True,False,False,False,True,False
80,-0.8749979224995502,False,False,37998.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
82,-1.0887411189423588,False,True,53950.0,0.4150623636612606,2,False,False,False,True,False,False,False,True,False
83,-1.2651313192309015,False,True,47999.0,-0.02098565713445568,1,False,False,False,True,False,False,False,False,True
84,-0.027597969197503118,True,True,15900.0,-1.0326170653805176,1,False,False,False,False,True,False,False,True,False
85,-0.14658609936960693,True,True,45000.0,2.115649644764554,2,False,False,False,True,False,False,False,True,False
86,0.3368824575444766,False,True,18500.0,0.07494490744060191,2,False,False,False,True,False,False,False,True,False
87,-0.9382310736172633,True,True,80000.0,0.3888994824135176,2,False,False,False,False,True,False,False,True,False
88,-0.7943472567027067,False,True,55000.0,2.115649644764554,2,False,False,False,True,False,False,False,True,False
89,2.711930972774484,False,False,2300.0,-1.3291297195216045,1,False,False,False,True,False,False,False,False,True
90,-1.205173418156112,False,True,34000.0,-0.3611031133551144,1,False,False,False,True,False,False,False,False,True
91,-0.584163291520416,False,True,31995.0,-1.5561238606329744,1,False,False,False,False,True,False,False,True,False
94,-0.6523566479054467,True,True,29900.0,-0.6663367279121158,2,False,False,False,True,False,False,False,True,False
95,0.16189323126273347,False,True,24950.0,-0.15180006337317056,2,False,False,False,True,False,False,False,True,False
96,-0.6836135139220169,False,False,39366.0,1.5495347286229162,1,False,False,False,True,False,False,False,True,False
97,-0.3683754303109269,False,True,32900.0,-0.09947430087768461,2,False,False,False,True,False,False,False,True,False
98,0.4536555342193431,False,True,8900.0,-0.8930816987258883,2,False,False,False,True,False,False,False,True,False
99,1.084775392201404,True,True,4995.0,-1.634363334078606,1,False,False,False,True,False,False,False,False,True
100,-1.2313943505806726,False,False,104900.0,1.928273580971195,2,False,False,False,True,False,False,False,True,False
101,0.923284739795987,False,True,7900.0,-0.2564515883641425,1,False,False,False,True,False,False,False,True,False
102,-0.5601763446742656,False,False,75950.0,1.019300335335325,2,False,False,False,True,False,False,False,True,False
103,-0.4914339579352188,False,True,86000.0,0.4499462053249179,2,False,False,False,False,False,False,True,True,False
104,0.3699946675159976,False,True,17995.0,-1.0238961049646031,2,False,False,False,False,True,False,False,True,False
105,-1.19284863331251,True,True,55655.0,-0.4956550740577927,2,False,False,False,True,False,False,False,True,False
106,-0.7629578661179257,False,False,39998.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
107,1.3696653496922262,True,True,14500.0,-1.0675009070441748,1,False,False,False,True,False,False,False,True,False
108,-0.7602695105913643,False,True,47500.0,-0.28261446961188547,1,False,False,False,True,False,False,False,True,False
109,-0.5801875544740928,False,True,27000.0,-0.6750576883280301,2,False,False,False,True,False,False,False,True,False
110,1.4491043622939999,True,True,18000.0,0.19703835326340247,2,False,False,False,True,False,False,False,True,False
111,-0.4346377144163149,False,True,28900.0,-0.7012205695757731,2,False,False,False,True,False,False,False,True,False
112,-1.0704337964480988,False,False,73998.0,0.56481371251739,2,False,False,False,True,False,False,False,True,False
114,-0.30690296274229983,False,False,47698.0,-0.4956550740577927,2,False,False,False,True,False,False,False,True,False
115,0.029198274321400847,False,True,36500.0,2.028440040605411,2,False,False,False,True,False,False,False,True,False
116,1.5216899615111592,False,True,32662.0,-0.04116845123985718,2,False,False,False,True,False,False,False,True,False
117,0.7107531965482484,True,True,6600.0,-0.15180006337317056,1,False,True,False,False,False,False,False,True,False
118,0.46847935377777705,False,True,9995.0,-0.9279655403895456,2,False,False,False,True,False,False,False,True,False
119,-0.9817748603150898,False,True,69500.0,1.4615776135709797,1,False,False,False,True,False,False,False,True,False
120,0.705073572196358,True,False,30775.0,0.5458767698999755,2,False,False,False,True,False,False,False,True,False
121,0.09258288208849767,True,True,9995.0,-1.6169214132467773,1,False,False,False,True,False,False,False,True,False
123,-1.0276472929971912,False,False,44798.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
125,0.4837386112031893,False,True,22495.0,1.2465436467442923,1,False,True,False,False,False,False,False,True,False
126,-0.27844804473932894,True,True,28998.0,0.37145756158168897,2,False,False,False,False,True,False,False,True,False
127,-0.7969788159857492,False,False,49998.0,-0.4956550740577927,2,False,False,False,False,True,False,False,True,False
128,0.5882058351156266,False,False,9995.0,-0.3262192716914571,2,False,False,False,True,False,False,False,True,False
130,0.37575002019257986,False,True,9000.0,-0.28261446961188547,1,False,False,False,True,False,False,False,True,False
131,0.1034498966817813,False,False,25999.0,-0.45703367793017197,2,False,False,False,True,False,False,False,True,False
132,-0.5008999985217029,False,True,30000.0,1.1127391969344067,2,False,False,False,True,False,False,False,True,False
133,-0.47960140720211386,False,True,27899.0,-0.8743939264060716,1,False,False,False,True,False,False,False,True,False
134,-0.10332629388937507,False,True,40000.0,1.3220422469163504,2,False,False,False,True,False,False,False,True,False
135,1.6354528372795238,True,True,9950.0,-0.15180006337317056,2,False,False,False,True,False,False,False,True,False
136,-0.6097973294286146,False,False,53998.0,-0.4956550740577927,2,False,False,False,True,False,False,False,True,False
137,2.404303585794927,False,True,9888.0,-1.2942458778579473,1,False,False,False,True,False,False,False,True,False
138,-0.8795416219810626,False,True,89999.0,0.5720396511477185,2,False,False,False,True,False,False,False,True,False
140,2.850078369093631,False,True,12990.0,0.1098287491042592,1,False,False,False,True,False,False,False,True,False
141,0.00647977691383926,True,True,36500.0,0.720295978218262,1,False,False,False,True,False,False,False,True,False
143,-0.8055929129194497,False,False,63998.0,-0.4956550740577927,2,False,False,False,False,True,False,False,True,False
144,-0.011695021012210009,True,True,12000.0,-0.1256371821254276,1,False,False,False,True,False,False,False,True,False
145,0.35104365426185663,False,True,32000.0,2.115649644764554,2,False,False,False,True,False,False,False,True,False
146,-1.2647337455262693,False,True,34599.0,-1.2531327787543511,1,False,False,False,True,False,False,False,True,False
147,0.14279076135920876,False,True,12500.0,-0.6750576883280301,1,False,False,False,True,False,False,False,True,False
148,0.31317949191592065,True,True,22800.0,-0.6750576883280301,2,False,False,False,True,False,False,False,True,False
149,-0.28318106503257096,False,True,39999.0,1.1563439990139783,2,False,False,False,True,False,False,False,True,False
150,0.9947344141427682,False,True,7500.0,-0.2564515883641425,1,False,False,False,True,False,False,False,True,False
151,-0.9237480315199428,False,True,35645.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
153,-0.5863594129364803,True,True,23950.0,0.8947151865365486,1,False,False,False,True,False,False,False,True,False
154,1.7917750315247205,False,True,12500.0,-0.5442432820893153,1,False,True,False,False,False,False,False,True,False
155,-1.029502636952142,False,True,47000.0,1.19994880109355,2,False,False,True,False,False,False,False,True,False
156,-0.7398796591680777,False,False,36999.0,0.26182263063876615,1,False,False,False,True,False,False,False,True,False
157,-0.6572032606857265,False,True,24000.0,-1.180873392451061,1,False,False,False,True,False,False,False,True,False
159,2.5482063347906565,True,True,8500.0,-0.7099415299916875,1,False,False,False,True,False,False,False,True,False
160,-0.04653005037047111,False,True,65000.0,0.4586671657408322,2,True,False,False,False,False,False,False,True,False
161,-1.0937391883720224,False,True,30990.0,-0.9501416968757277,1,False,False,False,True,False,False,False,True,False
162,-0.3377054588107188,False,True,10499.0,-0.3698240737710287,2,False,False,False,True,False,False,False,True,False
163,2.755417963228791,False,True,26500.0,-0.9192445799736313,1,False,False,False,True,False,False,False,True,False
164,-0.9740127070341729,False,True,114000.0,2.159254446844126,1,False,False,False,True,False,False,False,True,False
165,-1.2615910200515565,False,False,51998.0,-0.9501416968757277,2,False,False,False,True,False,False,False,True,False
166,0.010266193148432858,False,True,36499.0,-0.6052900050007155,2,False,False,False,True,False,False,False,True,False
167,0.27531532956998467,False,True,25000.0,-0.7622672924871734,2,False,False,False,True,False,False,False,True,False
168,-0.75928504237037,False,False,27785.0,-1.6318716311026304,1,False,False,False,True,False,False,False,True,False
169,1.16512314469948,True,True,7000.0,-1.2768039570261187,1,False,False,False,True,False,False,False,True,False
170,0.743524629058656,True,True,30000.0,0.37145756158168897,2,False,False,False,True,False,False,False,True,False
171,-0.6207022081842443,False,True,45500.0,0.720295978218262,1,False,False,False,True,False,False,False,True,False
172,-0.2188119890444798,False,True,8950.0,-0.5704061633370582,1,False,False,False,True,False,False,False,True,False
173,-1.2173278142691575,False,False,128900.0,0.26182263063876615,2,False,False,False,True,False,False,False,True,False
174,0.27531532956998467,False,True,17000.0,-0.8494768966463166,2,False,False,False,True,False,False,False,True,False
175,-1.1865253182007385,False,True,42850.0,-1.2531327787543511,2,False,False,False,True,False,False,False,True,False
176,-0.8890644588110654,False,False,22999.0,-1.7833671720419422,1,False,False,False,True,False,False,False,True,False
177,2.085222289705724,True,True,7100.0,-1.1983153132828896,0,False,False,False,True,False,False,False,True,False
178,0.21034042698435856,False,True,15500.0,-1.128547629955575,2,False,False,False,False,True,False,False,True,False
179,0.5214323848185686,False,True,43000.0,-0.3698240737710287,1,False,True,False,False,False,False,False,True,False
181,-0.7992695978076784,True,False,39951.0,-1.0258894673453836,1,False,False,False,True,False,False,False,True,False
182,0.394587440959683,True,True,11500.0,-0.7186624904076018,2,False,False,False,True,False,False,False,True,False
183,0.5782286283374725,True,True,27499.0,0.022619144945115948,1,False,True,False,False,False,False,False,True,False
184,-0.8856945483622772,False,True,76000.0,0.720295978218262,2,False,False,False,True,False,False,False,True,False
185,0.5214323848185686,False,True,10900.0,-0.15180006337317056,2,False,False,False,True,False,False,False,True,False
186,0.7486173588941843,True,True,6250.0,-1.5645956507512913,1,False,False,False,True,False,False,False,True,False
187,-0.14119045623531104,True,True,24700.0,0.31913179908620304,2,False,False,False,True,False,False,False,True,False
188,-0.6523566479054467,False,True,34999.0,-0.2302887071163995,0,False,False,False,True,False,False,False,False,True
189,-1.2676492860269064,False,True,60000.0,1.19994880109355,2,False,False,True,False,False,False,False,True,False
190,0.7770154806536363,False,True,63500.0,1.792974109375724,2,False,False,False,True,False,False,False,True,False
191,-0.5614826582752004,False,True,149500.0,2.159254446844126,1,False,False,False,True,False,False,False,True,False
192,0.13184801844123328,False,False,44798.0,0.7920570239263572,2,False,False,False,True,False,False,False,True,False
193,-0.22409403969173786,False,False,34562.0,-0.04116845123985718,1,False,False,False,True,False,False,False,True,False
194,-0.39285461126757454,True,True,32541.0,-0.8743939264060716,1,False,False,False,True,False,False,False,True,False
195,-0.7754151755297386,False,True,65900.0,1.069134394854835,1,False,False,False,True,False,False,False,True,False
196,-1.0877755828025375,False,True,47214.0,1.4737869581532597,1,False,False,False,True,False,False,False,True,False
197,-0.9164591802683502,False,True,76900.0,0.5720396511477185,2,False,False,False,True,False,False,False,True,False
198,-0.29264710561905494,False,True,35800.0,-0.06459045921402731,1,False,False,False,True,False,False,False,True,False
199,-0.04653005037047111,True,True,54999.0,-1.128547629955575,2,True,False,False,False,False,False,False,True,False
200,1.373376037602128,False,True,6730.0,-0.805872094566745,2,False,False,False,True,False,False,False,True,False
201,0.15415001006298956,True,True,14950.0,-1.1895943528669752,1,False,False,False,True,False,False,False,True,False
